,Make,Mean Model Price (£),Year,Mileage,Transmission,Engine Size (L),Fuel Type,Actual Car Price (£),Indicated Value
0,vauxhall,5872.614054054054,2006,60000,Manual,1.2,Petrol,1650,Great
1,vauxhall,4687.431330472104,2006,86000,Manual,1.8,Petrol,1995,Great
2,vauxhall,4687.431330472104,2006,62647,Manual,1.6,Petrol,1695,Fair
3,vauxhall,4687.431330472104,2006,111000,Manual,2.0,Petrol,3495,Great
4,vauxhall,2359.75,2006,20000,Manual,1.4,Petrol,2950,Higher
5,vauxhall,2624.614285714286,2006,99000,Automatic,1.8,Petrol,1950,Good
6,vauxhall,2049.333333333333,2006,71000,Manual,1.8,Petrol,1649,Great
7,vauxhall,3086.220588235294,2006,44000,Manual,1.6,Petrol,1595,Good
8,vauxhall,4687.431330472104,2006,69238,Automatic,1.8,Petrol,1695,Great
9,vauxhall,5872.614054054054,2006,70000,Manual,1.2,Petrol,1695,Higher
10,vauxhall,4687.431330472104,2006,73000,Manual,1.6,Petrol,1695,Fair
11,vauxhall,4687.431330472104,2006,79581,Manual,1.6,Petrol,2000,Higher
12,vauxhall,4687.431330472104,2006,96776,Manual,1.9,Diesel,5995,Higher
13,vauxhall,5872.614054054054,2006,100477,Automatic,1.4,Petrol,1595,Fair
14,vauxhall,1936.666666666667,2006,79000,Manual,1.9,Diesel,2195,Good
15,vauxhall,4687.431330472104,2006,120000,Manual,1.9,Diesel,1795,Great
16,vauxhall,2624.614285714286,2006,87835,Manual,1.6,Petrol,1675,Fair
17,vauxhall,4687.431330472104,2006,81500,Manual,1.8,Petrol,1950,Fair
18,vauxhall,4687.431330472104,2006,67119,Manual,1.4,Petrol,1650,Fair
19,vauxhall,1936.666666666667,2006,35000,Manual,1.8,Petrol,1990,Fair
20,vauxhall,4687.431330472104,2006,95000,Manual,1.9,Diesel,2500,Higher
21,vauxhall,5872.614054054054,2006,56815,Manual,1.0,Petrol,1795,Fair
22,vauxhall,4687.431330472104,2006,75000,Manual,2.0,Petrol,4175,Lower
23,vauxhall,4687.431330472104,2006,70441,Manual,1.6,Petrol,1600,Good
24,vauxhall,5872.614054054054,2006,15000,Manual,1.4,Petrol,1999,Higher
25,vauxhall,4687.431330472104,2006,81000,Manual,1.7,Diesel,1600,Fair
26,vauxhall,4687.431330472104,2006,105000,Automatic,1.8,Petrol,2000,Higher
27,vauxhall,3086.220588235294,2006,16000,Manual,1.6,Petrol,1950,Great
28,vauxhall,4687.431330472104,2006,94662,Manual,1.8,Petrol,1695,Fair
29,vauxhall,2624.614285714286,2006,90000,Manual,1.8,Petrol,1795,Fair
30,vauxhall,4687.431330472104,2006,79211,Automatic,1.8,Petrol,1795,Good
31,vauxhall,5872.614054054054,2006,61000,Manual,1.2,Petrol,1995,Higher
32,vauxhall,4687.431330472104,2006,115000,Manual,2.0,Petrol,3649,Fair
33,vauxhall,4687.431330472104,2007,66000,Manual,1.6,Petrol,1595,Great
34,vauxhall,4687.431330472104,2007,72000,Manual,1.6,Petrol,1999,Fair
35,vauxhall,4687.431330472104,2007,66405,Manual,1.6,Petrol,2000,Good
36,vauxhall,5872.614054054054,2007,90000,Automatic,1.4,Petrol,1995,Great
37,vauxhall,4687.431330472104,2007,65000,Manual,1.9,Diesel,1995,Great
38,vauxhall,4687.431330472104,2007,78595,Automatic,1.8,Petrol,1895,Great
39,vauxhall,5872.614054054054,2007,76394,Manual,1.4,Petrol,1795,Good
40,vauxhall,2624.614285714286,2007,92119,Manual,1.8,Petrol,1590,Good
