,Make,Mean Model Price (£),Year,Mileage,Transmission,Engine Size (L),Fuel Type,Actual Car Price (£),Indicated Value
0,renault,5933.241258741258,2006,55378,Manual,1.6,Petrol,1675,Great
1,seat,9317.119658119658,2006,110988,Manual,2.0,Petrol,2350,Great
2,mini,7929.057142857144,2006,69000,Manual,1.6,Petrol,2499,Fair
3,ford,6281.729041916167,2006,85714,Manual,1.6,Diesel,1699,Great
4,suzuki,3114.0,2006,77000,Manual,1.6,Petrol,2450,Great
5,bmw,6605.586206896552,2006,81500,Manual,2.0,Petrol,1990,Lower
6,mini,6426.404682274248,2006,85000,Manual,1.6,Petrol,1795,Fair
7,toyota,3982.165680473373,2006,99000,Manual,1.3,Petrol,1595,Great
8,vauxhall,5872.614054054054,2006,60000,Manual,1.2,Petrol,1650,Great
9,honda,17500.0,2006,51000,Manual,2.0,Petrol,17500,Lower
10,smart,4874.4,2006,41000,Automatic,0.7,Petrol,1895,Great
11,peugeot,2218.5454545454545,2006,51000,Manual,1.0,Petrol,1695,Great
12,toyota,3518.166666666666,2006,97000,Manual,2.2,Diesel,1795,Great
13,toyota,3982.165680473373,2006,49500,Manual,1.0,Petrol,1990,Great
14,volkswagen,6953.277192982456,2006,113000,Manual,2.0,Diesel,1595,Great
15,toyota,3982.165680473373,2006,64000,Manual,1.0,Petrol,1789,Great
16,suzuki,5271.309677419355,2006,65045,Manual,1.3,Diesel,1899,Good
17,skoda,8090.169014084507,2006,126000,Manual,2.0,Diesel,1995,Great
18,volkswagen,6953.277192982456,2006,93160,Manual,2.0,Diesel,1990,Great
19,toyota,6102.8,2006,61000,Manual,1.6,Petrol,2789,Fair
20,ford,4521.353448275861,2006,116172,Manual,2.2,Diesel,1975,Great
21,honda,4698.149350649352,2006,47524,Manual,1.4,Petrol,2995,Fair
22,suzuki,3114.0,2006,97000,Manual,1.9,Diesel,2000,Lower
23,toyota,3982.165680473373,2006,27654,Manual,1.3,Petrol,2490,Lower
24,volkswagen,6953.277192982456,2006,107990,Manual,2.0,Diesel,2495,Great
26,toyota,3982.165680473373,2006,97986,Manual,1.4,Diesel,1990,Good
27,toyota,4719.1679389312985,2006,64000,Manual,1.0,Petrol,1595,Great
28,bmw,14808.75,2006,153554,Automatic,3.0,Diesel,2950,Good
29,skoda,8090.169014084507,2006,110000,Manual,1.9,Diesel,1795,Good
30,mini,7929.057142857144,2006,94500,Manual,1.6,Petrol,2295,Fair
31,toyota,3518.166666666666,2006,104000,Manual,2.2,Diesel,1950,Good
32,kia,6135.576470588236,2006,57000,Automatic,1.1,Petrol,1690,Good
33,volkswagen,3570.777777777778,2006,115000,Manual,1.9,Diesel,1559,Good
34,peugeot,2218.5454545454545,2006,53865,Manual,1.0,Petrol,1695,Good
35,ford,5246.603305785124,2006,96000,Automatic,2.0,Petrol,2000,Good
37,ford,4588.875,2006,108000,Manual,2.0,Diesel,2295,Great
38,vauxhall,4687.431330472104,2006,86000,Manual,1.8,Petrol,1995,Great
39,toyota,4719.1679389312985,2006,58918,Manual,1.0,Petrol,1795,Great
40,honda,2815.0,2006,87000,Automatic,3.5,Petrol,3495,Lower
41,volkswagen,4153.45,2006,80000,Manual,1.4,Petrol,1795,Good
42,honda,4698.149350649352,2006,56000,Manual,1.8,Petrol,2499,Lower
44,suzuki,3114.0,2006,72202,Manual,1.6,Petrol,2500,Great
45,vauxhall,4687.431330472104,2006,62647,Manual,1.6,Petrol,1695,Fair
46,toyota,3982.165680473373,2006,50000,Manual,1.0,Petrol,1875,Great
47,volkswagen,6736.627009646302,2006,85354,Manual,1.4,Petrol,1795,Great
48,ford,6281.729041916167,2006,61000,Manual,1.4,Petrol,1595,Fair
49,ford,2203.95,2006,52850,Automatic,1.6,Petrol,2150,Fair
50,suzuki,8234.708333333334,2006,73000,Manual,1.5,Petrol,1695,Fair
51,mini,6426.404682274248,2006,82000,Manual,1.6,Petrol,1695,Great
52,volkswagen,6736.627009646302,2006,63000,Manual,1.2,Petrol,1595,Lower
53,volkswagen,6736.627009646302,2006,90000,Manual,1.2,Petrol,1690,Great
54,toyota,14490.0,2006,138000,Automatic,4.2,Diesel,14490,Lower
55,toyota,6102.8,2006,89000,Manual,1.4,Petrol,1950,Fair
56,volkswagen,6953.277192982456,2006,221686,Automatic,2.0,Petrol,2950,Higher
57,toyota,2251.4,2006,50000,Manual,1.6,Petrol,2680,Great
58,peugeot,1894.666666666667,2006,33654,Automatic,1.6,Petrol,1999,Good
59,volvo,2387.0,2006,146562,Automatic,2.4,Diesel,1800,Lower
60,citroen,5021.941176470587,2006,35000,Manual,1.4,Diesel,1995,Great
61,bmw,6605.586206896552,2006,89300,Automatic,3.0,Diesel,4400,Lower
62,audi,7253.379310344828,2006,98000,Manual,1.6,Petrol,1995,Good
63,mini,6426.404682274248,2006,93000,Manual,1.6,Petrol,1690,Good
64,toyota,3982.165680473373,2006,79414,Manual,1.3,Petrol,1695,Great
65,hyundai,2599.4736842105262,2006,81000,Manual,2.0,Petrol,1895,Fair
66,mini,6426.404682274248,2006,89000,Manual,1.6,Petrol,2490,Higher
67,bmw,6605.586206896552,2006,109000,Manual,2.0,Petrol,1550,Lower
68,volkswagen,6953.277192982456,2006,96000,Manual,1.6,Petrol,1695,Lower
69,audi,5919.0,2006,138000,Automatic,3.0,Diesel,3295,Lower
70,jaguar,2722.8387096774195,2006,70916,Automatic,2.5,Petrol,3981,Fair
71,mini,6426.404682274248,2006,80204,Manual,1.6,Petrol,2895,Lower
72,honda,3139.08,2006,110014,Manual,2.2,Diesel,1795,Good
73,mini,6426.404682274248,2006,92000,Manual,1.6,Petrol,2995,Good
74,honda,2596.0,2006,110765,Manual,2.2,Diesel,1890,Good
75,volkswagen,5994.9082568807335,2006,119000,Automatic,3.2,Petrol,2000,Lower
76,vauxhall,4687.431330472104,2006,111000,Manual,2.0,Petrol,3495,Great
77,ford,5246.603305785124,2006,113000,Automatic,1.6,Petrol,2400,Higher
78,toyota,4719.1679389312985,2006,40395,Manual,1.0,Petrol,2295,Good
79,suzuki,3114.0,2006,58000,Manual,1.9,Diesel,3995,Great
80,vauxhall,2359.75,2006,20000,Manual,1.4,Petrol,2950,Higher
81,alfa romeo,1792.5,2006,44000,Manual,1.6,Petrol,1990,Lower
82,mini,6426.404682274248,2006,111000,Manual,1.6,Petrol,1899,Fair
83,audi,5946.259259259259,2006,121000,Manual,2.0,Petrol,3500,Great
84,vauxhall,2624.614285714286,2006,99000,Automatic,1.8,Petrol,1950,Good
85,audi,7671.473684210528,2006,113000,Manual,2.0,Petrol,1795,Great
86,mini,7929.057142857144,2006,102777,Manual,1.6,Petrol,1795,Fair
87,ford,2149.0,2006,43000,Automatic,2.0,Petrol,2149,Great
88,bmw,8238.234042553191,2006,161900,Automatic,2.0,Diesel,1599,Great
89,bmw,6605.586206896552,2006,99000,Manual,2.0,Petrol,2100,Great
90,toyota,2079.6666666666665,2006,96500,Manual,1.8,Petrol,2350,Great
92,honda,4698.149350649352,2006,98869,Manual,1.8,Petrol,1690,Great
93,honda,3397.8,2006,59556,Manual,1.4,Petrol,2390,Fair
94,honda,3397.8,2006,56000,Automatic,1.4,Petrol,1990,Lower
95,audi,7671.473684210528,2006,63000,Manual,3.0,Diesel,5995,Fair
96,toyota,5178.913043478261,2006,79000,Manual,2.2,Diesel,1995,Lower
97,toyota,5178.913043478261,2006,96300,Manual,2.0,Petrol,2991,Great
98,skoda,2631.1666666666665,2006,79000,Manual,1.9,Diesel,2490,Fair
99,mini,6426.404682274248,2006,83800,Manual,1.6,Petrol,1749,Good
100,honda,3139.08,2006,98000,Automatic,2.0,Petrol,2495,Lower
101,fiat,1951.35,2006,92237,Manual,1.9,Diesel,1950,Higher
102,peugeot,2062.084210526316,2006,97000,Manual,1.6,Diesel,1990,Higher
103,citroen,2156.8,2006,61000,Manual,1.6,Diesel,1899,Fair
104,suzuki,5271.309677419355,2006,72800,Manual,1.5,Petrol,1690,Good
105,mini,6426.404682274248,2006,82000,Manual,1.6,Petrol,1995,Fair
106,mini,6426.404682274248,2006,117000,Manual,1.6,Petrol,1675,Fair
107,honda,4698.149350649352,2006,51900,Manual,1.8,Petrol,2995,Good
108,ford,6281.729041916167,2006,62380,Manual,1.25,Petrol,1600,Great
109,audi,14265.5,2006,118000,Manual,2.0,Diesel,2000,Good
110,hyundai,1772.5,2006,60708,Automatic,1.6,Petrol,1550,Great
111,suzuki,3114.0,2006,91000,Manual,1.6,Petrol,1750,Lower
112,land rover,4513.076923076923,2006,112000,Manual,2.0,Diesel,1875,Great
113,toyota,5178.913043478261,2006,135000,Manual,2.0,Petrol,2695,Great
114,mini,6426.404682274248,2006,71000,Manual,1.6,Petrol,3825,Fair
115,toyota,6102.8,2006,76350,Manual,1.6,Petrol,1999,Fair
116,suzuki,3114.0,2006,97000,Manual,2.0,Petrol,2495,Great
117,peugeot,2218.5454545454545,2006,83321,Manual,1.0,Petrol,1695,Fair
118,suzuki,3114.0,2006,87000,Manual,1.9,Diesel,3295,Great
119,ford,3930.285714285714,2006,31000,Manual,2.0,Diesel,6490,Fair
120,renault,5933.241258741258,2006,61000,Manual,1.2,Petrol,1525,Fair
121,renault,3467.933333333333,2006,50607,Automatic,1.6,Petrol,1595,Fair
122,bmw,6605.586206896552,2006,33000,Manual,2.0,Petrol,5495,Fair
123,toyota,6102.8,2006,90831,Manual,1.6,Petrol,1999,Fair
124,bmw,7848.303225806451,2006,94257,Manual,2.0,Diesel,1990,Fair
125,honda,5048.4745762711855,2006,93000,Manual,2.2,Diesel,2800,Great
126,mercedes-benz,7442.675,2006,126000,Automatic,1.8,Petrol,2495,Lower
127,volkswagen,6736.627009646302,2006,58122,Manual,1.2,Petrol,1995,Great
128,mini,6426.404682274248,2006,53421,Manual,1.6,Petrol,2495,Good
129,audi,7253.379310344828,2006,142989,Manual,2.0,Diesel,1890,Great
130,audi,5919.0,2006,138000,Automatic,2.0,Diesel,2495,Higher
131,lexus,2000.0,2006,112000,Manual,2.2,Diesel,1695,Great
132,ford,5246.603305785124,2006,74699,Automatic,2.0,Petrol,1995,Fair
133,mini,6426.404682274248,2006,81188,Manual,1.6,Petrol,1895,Great
134,mercedes-benz,7442.675,2006,107000,Automatic,1.8,Petrol,1990,Great
135,vauxhall,2049.333333333333,2006,71000,Manual,1.8,Petrol,1649,Great
136,skoda,6104.977142857144,2006,104320,Manual,1.9,Diesel,1790,Good
137,citroen,2156.8,2006,63103,Manual,1.6,Petrol,1595,Good
138,mini,6426.404682274248,2006,90000,Manual,1.6,Petrol,1890,Good
139,volvo,3060.6470588235293,2006,56000,Automatic,2.4,Petrol,1995,Lower
140,volkswagen,4153.45,2006,99000,Manual,1.6,Petrol,2295,Great
141,mini,6426.404682274248,2006,62180,Manual,1.6,Petrol,1800,Lower
142,volkswagen,5994.9082568807335,2006,148001,Automatic,2.0,Diesel,1595,Great
143,suzuki,8234.708333333334,2006,71800,Manual,1.5,Petrol,1790,Fair
144,volvo,2987.5714285714284,2006,95000,Manual,2.5,Petrol,3595,Great
145,bmw,6605.586206896552,2006,104000,Manual,2.0,Petrol,2495,Lower
146,bmw,6588.214285714284,2006,90000,Manual,2.0,Diesel,2995,Lower
147,seat,9317.119658119658,2006,97000,Manual,1.6,Petrol,1795,Fair
148,volkswagen,6736.627009646302,2006,74000,Manual,1.2,Petrol,1690,Great
149,hyundai,2599.4736842105262,2006,116000,Manual,2.0,Petrol,1699,Higher
150,volkswagen,6953.277192982456,2006,88120,Manual,1.6,Petrol,1799,Great
151,skoda,6104.977142857144,2006,72499,Manual,1.2,Petrol,1600,Fair
152,ford,6281.729041916167,2006,61471,Manual,1.4,Petrol,1587,Great
153,bmw,6605.586206896552,2006,128009,Automatic,2.0,Diesel,2495,Good
154,vauxhall,3086.220588235294,2006,44000,Manual,1.6,Petrol,1595,Good
155,volkswagen,6953.277192982456,2006,113000,Manual,1.4,Petrol,1750,Great
156,mitsubishi,5323.25,2006,108673,Automatic,3.2,Diesel,2995,Lower
157,vauxhall,4687.431330472104,2006,69238,Automatic,1.8,Petrol,1695,Great
158,jaguar,2722.8387096774195,2006,85000,Manual,2.2,Diesel,2250,Good
159,mini,6426.404682274248,2006,90000,Manual,1.6,Petrol,1595,Great
160,audi,7253.379310344828,2006,85289,Manual,2.0,Diesel,3495,Fair
161,jaguar,4868.5,2006,78000,Automatic,2.7,Diesel,3999,Lower
162,honda,4698.149350649352,2006,85450,Automatic,1.8,Petrol,2590,Fair
163,peugeot,2013.2,2006,83000,Manual,2.2,Petrol,1995,Good
164,hyundai,2599.4736842105262,2006,83000,Automatic,2.0,Petrol,1775,Fair
165,renault,5933.241258741258,2006,57460,Manual,1.6,Petrol,1590,Fair
166,mini,6426.404682274248,2006,102000,Manual,1.6,Petrol,1990,Great
167,nissan,3361.174418604651,2006,58000,Automatic,1.6,Petrol,2450,Fair
168,mini,3935.633333333333,2006,73700,Manual,1.6,Petrol,2490,Lower
169,honda,4698.149350649352,2006,88166,Manual,1.8,Petrol,2100,Great
170,bmw,6605.586206896552,2006,103000,Automatic,2.5,Petrol,3795,Great
171,volvo,3060.6470588235293,2006,96000,Manual,1.6,Petrol,1595,Great
172,vauxhall,5872.614054054054,2006,70000,Manual,1.2,Petrol,1695,Higher
173,audi,3530.615384615385,2006,111000,Manual,1.8,Petrol,1999,Lower
174,saab,2922.2045454545455,2006,58000,Manual,1.9,Diesel,1995,Lower
175,alfa romeo,3642.0,2006,65951,Manual,2.4,Diesel,4895,Good
176,toyota,5178.913043478261,2006,131000,Manual,2.0,Petrol,1998,Great
177,toyota,3982.165680473373,2006,79000,Automatic,1.3,Petrol,2790,Fair
178,jaguar,2879.285714285714,2006,114000,Automatic,3.0,Petrol,1790,Lower
179,audi,7253.379310344828,2006,118000,Manual,1.9,Diesel,1990,Higher
180,vauxhall,4687.431330472104,2006,73000,Manual,1.6,Petrol,1695,Fair
181,jaguar,2722.8387096774195,2006,106000,Automatic,2.5,Petrol,1989,Fair
182,toyota,6102.8,2006,97083,Automatic,1.6,Petrol,2000,Great
